idZamb,Dorsal,Nombre,equipos_idEquipo
1,18,Eunice Sakala,2
2,8,Margaret Belemu,2
3,13,Martha Tembo,2
4,15,Agness Musesa,2
5,14,Ireen Lungu,2
6,11,Barbra Banda,2
7,17,Racheal Kundananji,2
8,4,Susan Banda,2
9,19,Siomala Mapepa,2
10,12,Evarine Katongo,2
11,3,Lushomo Mweemba,2
12,6,Mary Wilombe,2
13,23,Vast Phiri,2
14,21,Avell Chitundu,2
15,7,Ochumba Lubandji,2
16,10,Comfort Selemani,2
17,20,Hellen Chanda,2
18,2,Judith Soko,2
19,9,Hellen Mubanga,2
20,5,Mary Mulenga,2
21,22,Esther Banda,2
22,16,Leticia Lungu,2
